concept,type
datasetVersion.metadataBlocks.socialscience.displayName,string
datasetVersion.metadataBlocks.citation.fields.value.datasetContactAffiliation.multiple,string
datasetVersion.files.dataFile.originalFormatLabel,string
datasetVersion.metadataBlocks.citation.fields.value.seriesName.typeClass,string
datasetVersion.files.dataFile.description,string
datasetVersion.metadataBlocks.citation.fields.value.topicClassVocab.typeClass,string
datasetVersion.files.directoryLabel,string
datasetVersion.metadataBlocks.citation.fields.value.publicationURL.multiple,string
datasetVersion.metadataBlocks.citation.fields.value.publicationIDNumber.typeName,string
datasetVersion.files.label,string
datasetVersion.metadataBlocks.citation.fields.value.datasetContactName.value,string
datasetVersion.metadataBlocks.citation.fields.multiple,string
datasetVersion.metadataBlocks.citation.fields.value.producerName.multiple,string
datasetVersion.datasetId,id
publisher,string
datasetVersion.fileAccessRequest,string
datasetVersion.metadataBlocks.citation.fields.value.timePeriodCoveredStart.multiple,string
datasetVersion.metadataBlocks.citation.fields.value.grantNumberAgency.typeName,string
datasetVersion.metadataBlocks.geospatial.fields.value.country.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.distributorLogoURL.typeName,string
datasetVersion.files.dataFile.storageIdentifier,id
